Dependent Variable,Variable,Coefficient,Std. Error,p-value,Significance
intelligence,Intercept,0.05731580603853049,0.026170811977588974,0.028629560264917097,**
intelligence,is_agriculture_x_gender[T.Female],0.01715279653713678,0.034243749927102426,0.6164921235914437,
intelligence,is_agriculture_x_gender[T.Male],0.005176985096553833,0.03358738828573865,0.8775183306301695,
intelligence,is_home_economics_x_gender[T.Female],-0.04009360016349989,0.02669193227870453,0.1332256769678339,
intelligence,is_home_economics_x_gender[T.Male],0.062466517495011246,0.04265247238987254,0.14319508757147134,
intelligence,is_science_x_gender[T.Female],-0.0030456193536073928,0.02102980993426041,0.8848638590863287,
intelligence,is_science_x_gender[T.Male],-0.0009879372628247007,0.03056017116234116,0.9742138772687376,
intelligence,is_engineering_x_gender[T.Female],-0.04781853861748568,0.049891621268888596,0.3379475639698425,
intelligence,is_engineering_x_gender[T.Male],0.0382211041546767,0.03828230735651223,0.3182003408107176,
intelligence,is_music_x_gender[T.Female],0.007554664021938938,0.020249151163832163,0.7091226507398276,
intelligence,is_education_x_gender[T.Female],-0.04704645831758031,0.06696871820680522,0.4824369055449157,
intelligence,is_education_x_gender[T.Male],0.03667694355486574,0.045178191211392285,0.41698244665282247,
intelligence,is_veterinary_x_gender[T.Female],-0.044398389009716314,0.06683346691525899,0.5065627887597035,
intelligence,is_veterinary_x_gender[T.Male],0.031380804939137856,0.044383691623062826,0.47962377008517854,
intelligence,gender[T.Male],-0.0449539861862454,0.05163328700824943,0.38405088773378115,
intelligence,is_agriculture,0.022329781633690426,0.021428765977434865,0.29751034477578703,
intelligence,is_home_economics,0.022372917331511595,0.02250195011092692,0.32020856742052856,
intelligence,is_science,-0.004033556616432118,0.016594038722173902,0.8079729759864825,
intelligence,is_engineering,-0.00959743446280913,0.028131980192945556,0.7330193344327987,
intelligence,is_music,0.0075546640219389515,0.02024915116383212,0.7091226507398263,
intelligence,is_education,-0.010369514762714863,0.03612862362486704,0.7741280466028737,
intelligence,is_veterinary,-0.013017584070578627,0.035885873597500464,0.7168286527405955,
intelligence,hometown_Iowa,0.00010016704176430162,0.006253925836887456,0.9872226238140618,
grindstone,Intercept,0.07978468182327982,0.023479051101167867,0.0006912176081410055,***
grindstone,is_agriculture_x_gender[T.Female],-0.0046422658037069305,0.03072165873655564,0.8799056780662396,
grindstone,is_agriculture_x_gender[T.Male],0.004785250014767809,0.0301328062190402,0.8738375908952797,
grindstone,is_home_economics_x_gender[T.Female],-0.03156860044856601,0.023946572330170075,0.18754994341870487,
grindstone,is_home_economics_x_gender[T.Male],0.027863615712098007,0.038265514256513644,0.4665940008770112,
grindstone,is_science_x_gender[T.Female],-0.013546796781638597,0.018866819360330606,0.4728237580498049,
grindstone,is_science_x_gender[T.Male],0.0039457619799123525,0.02741694911856333,0.8855799683781813,
grindstone,is_engineering_x_gender[T.Female],-0.05384846452309588,0.04476009098592235,0.2290945761642397,
grindstone,is_engineering_x_gender[T.Male],0.032485103921084287,0.03434483620393086,0.3443337800396141,
grindstone,is_music_x_gender[T.Female],-0.018017171232522586,0.018166454114530987,0.3214183890416247,
grindstone,is_education_x_gender[T.Female],-0.046299684452351636,0.06008074790739248,0.44101671256300246,
grindstone,is_education_x_gender[T.Male],0.017387543779595522,0.040531453934977785,0.6679754956338064,
grindstone,is_veterinary_x_gender[T.Female],-0.05435858791886323,0.05995940769110754,0.36472821087840734,
grindstone,is_veterinary_x_gender[T.Male],0.033505350712618856,0.03981867144851086,0.4001930925645384,
grindstone,gender[T.Male],-0.053531719736845416,0.04632262022386209,0.24796535437995176,
grindstone,is_agriculture,0.00014298421106079886,0.01922474135880869,0.994066489583763,
grindstone,is_home_economics,-0.0037049847364678504,0.020187544696083814,0.8544013495042897,
grindstone,is_science,-0.009601034801726279,0.014887282957300624,0.5190529004109573,
grindstone,is_engineering,-0.021363360602011855,0.02523850620656446,0.3973935993528481,
grindstone,is_music,-0.018017171232522534,0.018166454114530953,0.32141838904162506,
grindstone,is_education,-0.02891214067275621,0.032412666486218114,0.3724948694327864,
grindstone,is_veterinary,-0.020853237206244466,0.032194884160540546,0.5172378409097858,
grindstone,hometown_Iowa,-0.004572856698172206,0.005610687373129112,0.41515018334372455,
creativity,Intercept,0.006288785324234058,0.018808278812999603,0.7381394774140191,
creativity,is_agriculture_x_gender[T.Female],0.03581382594007808,0.02461008839859896,0.14575022684264843,
creativity,is_agriculture_x_gender[T.Male],-0.025251965548588218,0.02413837843547289,0.2956203281486016,
creativity,is_home_economics_x_gender[T.Female],0.013978611029763638,0.01918279435829063,0.4662633266862021,
creativity,is_home_economics_x_gender[T.Male],-0.0198897890597676,0.030653217540955943,0.5164971257142954,
creativity,is_science_x_gender[T.Female],0.02046992813943234,0.015113574961551414,0.1757529760174014,
creativity,is_science_x_gender[T.Male],-0.0199492563282678,0.021962796579888748,0.3638136366687027,
creativity,is_engineering_x_gender[T.Female],-0.002830875168091324,0.035855804705692856,0.9370786301932787,
creativity,is_engineering_x_gender[T.Male],-0.005082525435398752,0.027512494109193514,0.8534546695365677,
creativity,is_music_x_gender[T.Female],0.03506125483725932,0.014552535899232623,0.01606959777097229,**
creativity,is_education_x_gender[T.Female],-0.006048534966487853,0.048128668107867964,0.9000018557995486,
creativity,is_education_x_gender[T.Male],0.0013527941613940848,0.032468385669444426,0.9667697611974722,
creativity,is_veterinary_x_gender[T.Female],0.12639797437858613,0.04803146653829502,0.008561702776874068,***
creativity,is_veterinary_x_gender[T.Male],-0.07450975676084459,0.03189739957291405,0.01958950802052873,**
creativity,gender[T.Male],0.023018049639673833,0.03710749436870366,0.5351230862082779,
creativity,is_agriculture,0.01056186039148936,0.015400294246401344,0.4929013998513192,
creativity,is_home_economics,-0.005911178030004188,0.016171563644450243,0.7147534177449162,
creativity,is_science,0.0005206718111645499,0.011925702083207262,0.9651798830070312,
creativity,is_engineering,-0.007913400603490132,0.020217719170647134,0.6955346989722633,
